Provinsi,SEMUA PROVINSI,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,KEPULAUAN RIAU,JAMBI,BENGKULU,SUMATERA SELATAN,KEPULAUAN BANGKA BELITUNG,LAMPUNG,BANTEN,JAWA BARAT,DKI JAKARTA,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN SELATAN,KALIMANTAN TENGAH,KALIMANTAN TIMUR,KALIMANTAN UTARA,GORONTALO,SULAWESI SELATAN,SULAWESI TENGGARA,SULAWESI TENGAH,SULAWESI UTARA,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA,PAPUA BARAT
4/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11500,11750,11250,11100,11300,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13400,10850,10000,10800,11200,11400,9750,13200,12650,12400,12500
5/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11850,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13400,10850,10000,10800,11200,11400,9750,13200,12650,12400,12950
6/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12950
7/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12900
8/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12950
11/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12900
12/1/2021,11800,10250,10950,13450,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12900
13/01/2021,11800,10250,10950,13500,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11700,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12750
14/01/2021,11800,10250,10950,13500,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11650,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12600
15/01/2021,11800,10200,10950,13500,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10350,11650,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12400,12750
18/01/2021,11800,10200,10950,13650,12300,13300,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12100,12950
19/01/2021,11800,10200,10950,13500,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13150,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12050,12950
20/01/2021,11800,10200,10950,13500,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12050,12950
21/01/2021,11800,10200,10950,13500,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,12950,14150,12350,13750,10850,10000,10800,11200,11400,9750,13200,12650,12100,12900
22/01/2021,11800,10200,10950,13500,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10800,11200,11400,9850,13200,12650,12100,12900
25/01/2021,11800,10200,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10800,11200,11400,9850,13200,12650,12150,12900
26/01/2021,11800,10200,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10900,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
27/01/2021,11850,10200,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10850,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10850,11200,11400, - ,13200,12650,12150,12900
28/01/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11300,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13200,14150,12350,12900,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
29/01/2021,11850,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10400,11650,13100,13200,14150,12350,13750,10850,10000,10850,11200, - ,9850,13200,12650,12150,12900
1/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10300,11350,13150,13200,14150,12350,13750,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
2/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10300,11300,13150,13200,14150,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12150,12900
3/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10300,11300,13150,13200,14150,12350,13750,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
4/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10500,11600,10300,11300,13150,13250,14150,12350,13750,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
5/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11250,11100,11200,13450,11200,11400,10500,11600,10300,11300,13150,13250,14200,12350,13750,10850,10000,10850,11200,11400,9850,13200,12650,12150,12900
8/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11300,11100,11200,13450,11200,11400,10450,11600,10300,11300,13150,13100,14050,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12100,12900
9/2/2021,11800,10250,10950,13550,12300,13250,11800,11450,11450,11750,11300,11100,11200,13450,11200,11400,10450,11600,10300,11300,13150,13100,14150,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12150,12900
10/2/2021,11800,10250,10950,13550,12300,13150,11800,11450,11450,11750,11300,11100,11200,13450,11200,11400,10450,11600,10300,11300,13150,13100,14150,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12150,12900
11/2/2021,11800,10250,10950,13550,12300,13150,11800,11450,11450,11750,11300,11100,11200,13450,10950,11400,10450,11600,10300,11300,13150,13100,14150,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12150,12900
15/02/2021,11800,10150,10950,13550,12300,13150,11800,11450,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13050,14150,12350,13750,10850,10050,10850,11200,11400,9850,13200,12650,12150,12900
16/02/2021,11800,10150,10950,13550,12300,13150,11800,11550,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13050,14150,12350,13750,10850,10050,10800,11200,11400,9800,13200,12650,12150,12900
17/02/2021,11800,10150,10950,13550,12300,13150,11800,11550,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13050,14100,12350,13750,10850,10050,10800,11200,11400,9800,13200,12650,12150,12900
18/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,12950,13100,14100,12350,13750,10850,10050,10800,11200,11400,9800,13200,12650,12150,12950
19/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,12950,13100,14100,12350,13750,10850,10050,10800,11200,11400,9800,13200,12650,12150,12900
22/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13100,14100,12350,13750,10850,10050,10850,11200,11400,9800,13200,12650,12150,12900
23/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11750,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13100,14100,12350,13750,10850,10050,10850,11200,11400,9800,13200,12650,12150,12900
24/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11700,11250,11100,11200,13450,11300,11400,10450,11600,10400,11300,13150,13100,14100,12350,13750,10850,10050,10850,11200,11400,9800,13200,12650,12150,12900
25/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11700,11250,11100,11200,13450,10950,11400,10500,11600,10400,11300,13150,13100,14100,12350,13750,10850,10050,10850,11200,11400,9800,13150,12650,12150,13150
26/02/2021,11800,10150,10950,13550,12300,13150,11800,11650,11450,11650,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13150,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12100,13150
1/3/2021,11800,10150,11250,13550,12300,13150,11800,11650,11450,11650,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
2/3/2021,11800,10150,11250,13550,12300,13150,11800,11650,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13800,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
3/3/2021,11800,10150,11250,13550,12300,13150,11800,11750,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9650,13150,12650,12150,13150
4/3/2021,11800,10150,11100,13550,12300,13150,11800,11650,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
5/3/2021,11800,10150,11100,13550,12300,13150,11800,11650,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12050,13150
8/3/2021,11800,10150,11100,13550,12300,13150,11800,11650,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
9/3/2021,11800,10150,11100,13550,12300,13150,11800,11650,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
10/3/2021,11800,10150,11100,13550,12300,13150,11800,11600,11400,11600,11250,11100,11200,13450,10950,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
12/3/2021,11800,10150,11100,13550,12300,13150,11800,11600,11250,11600,11250,11100,11200,13400,10900,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850, - ,11400,9750,13150,12650,12150,13150
15/03/2021,11800,10150,11250,13700,12300,13150,11800,11600,11400,11600,11250,11100,11200,13400,10900,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
16/03/2021,11800,10150,11250,13500,12300,13150,11800,11600,11400,11600,11250,11100,11200,13400,10900,11400,10450,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13150,12650,12150,13150
17/03/2021,11800,10150,11250,13500,12300,13150,11800,11550,11400,11600,11250,11100,11200,13400,10900,11400,10400,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10850,11200,11400,9750,13200,12650,12150,13150
18/03/2021,11850,10150,11250,13500,12300,13150,11800,11500,11400,11600,11250,11100,11200,13400,10900,11400,10400,11600,10400,11300,14950,13100,14150,12350,13750,10850,10050,10950,11200,11400,9750,13200,12650,12150,13150
19/03/2021,11800,10150,11250,13500,12300,13150,11800,11500,11350,11600,11250,11100,11200,13400,10900,11400,10400,11600,10400,11300,13200,13100,14150,12350,13750,10850,10050,10950,11200,11400,9750,13200,12650,12150,13150
22/03/2021,11800,10150,11250,13500,12300,13150,11800,11500,11350,11600,11250,11050,11200,13400,10900,11400,10400,11500,10300,11300,13200,13100,14100,12350,13750,10850,10050,10950,11200,11400,9750,13200,12650,12100,13150
23/03/2021,11800,10150,11250,13500,12300,13150,11800,11500,11350,11600,11250,11000,11200,13400,10900,11400,10400,11500,10250,11300,13200,13100,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12650,12100,13150
24/03/2021,11800,10150,11250,13500,12300,13150,11800,11500,11350,11600,11200,11000,11200,13400,10900,11400,10400,11500,10200,11300,13200,13100,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12750,12100,13150
25/03/2021,11800,10150,11250,13700,12300,13150,11800,11500,11350,11600,11150,11000,11200,13400,10900,11400,10400,11500,10200,11300,13200,13100,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12650,12100,13150
26/03/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11150,11000,11200,13400,10850,11400,10450,11500,10200,11300,13200,13100,14100,12350,13750,10850,10050,11000,11200,11400,9800,13200,12650,12100,13150
29/03/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11150,11000,11200,13400,10850,11400,10400,11500,9850,11300,13200,13150,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12650,12050,13150
30/03/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13400,10850,11400,10350,11500,9850,11300,13200,13150,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12650,12050,13150
31/03/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13350,10900,11400,10350,11500,9850,11300,13150,13150,14100,12350,13750,10850,10050,10950,11200,11400,9800,13200,12650,12050,13150
1/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13350,10900,11400,10350,11500,9850,11300,13200,13150,14100,12350,13750,10850,10050,11000,11200,11400,9800,13200,12650,12050,13150
5/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13350,10850,11400,10350,11500,9850,11300,13200,13150,14200,12350,13750,10850,10050,11000,11200,11400,9800,13200,12650,12050,13150
6/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13350,10850,11400,10350,11500,9850,11300,13200,13150,14200,12350,13750,10850,10050,11000,11200,11400,9800,13200,12650,12050,13150
7/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11100,11000,11200,13350,10850,11400,10350,11500,9850,11300,13200,13150,14200,12350,13750,10850,10050,11000,11200,11400,9800,13200,12650,12050,13150
8/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11050,11000,11200,13350,10850,11400,10350,11500,9850,11300,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,11850,13150
9/4/2021,11800,10150,11250,13550,12300,13150,11800,11500,11350,11600,11050,11000,11200,13350,10850,11400,10350,11500,9800,11300,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,12050,13150
12/4/2021,11800,10150,11250,13550,12250,13150,11800,11500,11350,11600,11050,11000,11200,13350,10850,11400,10350,11500,9750,11300,13200,13150,14150,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,12050,13150
13/04/2021,11800,10150,11250,13550,12250,13150,11800,11500,11350,11600,11050,11000,11200,13350,10850,11400,10350,11500,9750,11350,13200,13150,14150,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,12050,13150
14/04/2021,11800,10150,11250,13550,12250,13150,11800,11500,11350,11600,11050,11000,11200,13450,10850,11400,10350,11500,9750,11350,13200,13150,14150,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,12100,13150
15/04/2021,11800,10150,11250,13550,12250,13150,11800,11500,11350,11600,11050,11000,11200,13450,10800,11400,10400,11500,9750,11350,13200,13150,14150,12350,13750,10850,10050,11050,11200,11400,9800,13200,12650,12100,13150
16/04/2021,11800,10150,11250,13550,12250,13150,11800,11500,11350,11600,11050,11000,11200,13450,10800,11400,10400,11500,9750,11350,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9800,13200,12700,12100,13150
19/04/2021,11800,10150,11200,13550,12250,13150,11800,11500,11350,11650,11050,11000,11200,13450,10800,11150,10350,11500,9850,11350,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9750,13200,12700,12100,13150
20/04/2021,11750,10150,11200,13550,12250,13150,11800,11500,11350,11650,11050,11000,11200,13450,10800,11150,10350,11500,9750,11350,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9750,13200,12700,12100,13150
21/04/2021,11750,10150,11200,13550,12250,13150,11800,11500,11300,11650,11050,11000,11200,13450,10800,11150,10350,11500,9750,11350,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9750,13200,12700,12100,13150
22/04/2021,11800,10150,11200,13550,12250,13150,11800,11500,11300,11650,11050,11000,11200,13450,10800,11150,10350,11500,9750,11350,13200,13150,14200,14050,13750,10850,10050,11050,11200,11400,9750,13200,12700,12100,13150
23/04/2021,11750,10150,11200,13550,12350,13150,11800,11500,11300,11650,11050,11000,11200,13450,10800,11150,10350,11500,9750,11300,13200,13150,14200,12350,13750,10850,10050,11050,11200,11400,9750,13200,12700,12100,13150
26/04/2021,11750,10150,11200,13550,12250,13150,11800,11450,11300,11650,11000,11000,11200,13450,10800,11150,10350,11500,9750,11300,13200,13150,14200,12350,13750,10850,10000,11050,11200,11400,9750,13150,12700,12100,13150
27/04/2021,11750,10150,11200,13550,12250,13150,11800,11500,11300,11650,11000,11000,11200,13450,10800,11150,10350,11500,9750,11300,13200,13150,14200,12350,13750,10850,10000,11050,11200,11400,9750,13150,12700,12100,13150
28/04/2021,11750,10150,11200,13550,12250,13150,11800,11500,11300,11650,11000,11000,11200,13450,10800,11150,10350,11500,9750,11300,13200,13150,14200,12350,13750,10850,10000,11050,11200,11400,9750,13150,12700,12100,13150
29/04/2021,11750,10150,11200,13550,12250,13150,11800,11500,11300,11650,11000,11000,11200,13400,10800,11150,10350,11500,9550,11300,13200,13150,14200,12350,13750,10850,9900,11050,11200,11400,9750,13150,12700,12100,13150
30/04/2021,11750,10100,11200,13550,12250,13150,11800,11500,11300,11650,11000,11000,11200,13400,10800,11150,10350,11500,9550,11300,13200,13150,14200,12350,13750,10850,9900,11050,11200,11400,9750,13150,12700,12100,13150
3/5/2021,11750,10100,11250,13550,12250,13150,11800,11500,11300,11650,11000,11000,11200,13400,10800,11150,10350,11500,9550,11300,13200,13150,14200,12350,13750,10850,9850,11050,11200,11400,9700,13150,12700,12100,13150
4/5/2021,11750,10100,11200,13550,12250,13150,11800,11450,11300,11650,11000,11000,11200,13400,10800,11150,10350,11500,9550,11300,13200,13150,14200,12350,13750,10850,9850,11050,11200,11400,9700,13150,12700,12100,13150
5/5/2021,11750,10100,11200,13550,12250,13150,11800,11450,11300,11650,11000,11000,11200,13400,10800,11150,10350,11500,9550,11300,13200,13150,14200,12350,13750,10850,9850,11050,11200,11400,9700,13150,12700,12050,13150
6/5/2021,11750,10100,11200,13550,12250,13150,11800,11450,11300,11650,11000,11000,11200,13400,10850,11150,10350,11400,9550,11300,13150,13150,14200,12350,13750,10850,9850,11050,11200,11400,9750,13150,12700,12100,13150
7/5/2021,11750,10100,11200,13550,12250,13150,11800,11450,11300,11650,11000,11000,11200,13400,10850,11150,10350,11400,9550,11300,13200,13150,14200,12350,13750,10850,9850,11050,11200,11400,9700,13150,12700,12100,13150
